Denumirea instantei in clar (cu diactritice),Codul informatic al instantei (din portal),Populația,Numar de judecatori,Stoc (total volum de activitate al instantei),Dosare solutionate,Operativitate (procent solutionate din stoc),Incarcatura pe schema,Incarcatura pe judecator,Indice de atacabilitate (procent atacate din solutionate),Indice de casare/desfiintare,"Indicator de ""siguranta"" (100%-Desfiintare*Atacare)",Durata in zile,Performanta pentru gogoasa,Operativitatea relativa,Incarcatura relativa,Siguranta relativa
Judecătoria NOVACI,JudecatoriaNOVACI,27675,3,2949,2331,79%,589.8,983,13%,8%,98.96%,100,42.36%,131.74%,64.48%,71.96%
Judecătoria ODORHEIUL SECUIESC,JudecatoriaODORHEIULSECUIESC,117555,6,3560,3082,87%,593.33,712,13%,8%,98.96%,51,75.81%,103.89%,93.94%,85.00%
Judecătoria OLTENIŢA,JudecatoriaOLTENITA,112618,8,4776,3903,82%,597,682.29,13%,8%,98.96%,82,59.79%,93.40%,93.94%,76.84%
Judecătoria ONEŞTI,JudecatoriaONESTI,141101,14,9727,7105,73%,648.47,694.79,13%,8%,98.96%,60,60.19%,78.26%,95.08%,82.66%
Judecătoria ORADEA,JudecatoriaORADEA,284697,34,33138,25572,77%,974.65,1104.6,13%,8%,98.96%,90,55.93%,87.46%,96.12%,74.46%
Judecătoria ORAŞTIE,JudecatoriaORASTIE,34970,2,1634,1343,82%,544.67,817,13%,8%,98.96%,99,51.16%,123.29%,76.64%,72.10%
Judecătoria ORAVIŢA,JudecatoriaORAVITA,51579,5,2434,1643,68%,486.8,486.8,13%,8%,98.96%,121,28.40%,67.50%,90.56%,66.04%
Judecătoria ORŞOVA,JudecatoriaORSOVA,17458,5,1777,1360,77%,355.4,355.4,13%,8%,98.96%,80,35.73%,76.53%,79.64%,77.33%
Judecătoria PANCIU,JudecatoriaPANCIU,44825,4,4977,4496,90%,995.4,1244.25,13%,8%,98.96%,46,58.93%,112.92%,72.24%,86.43%
Judecătoria PAŞCANI,JudecatoriaPASCANI,158767,11,7909,6067,77%,659.08,719,13%,8%,98.96%,110,46.37%,83.68%,95.47%,69.09%
Judecătoria PĂTĂRLAGELE,JudecatoriaPATARLAGELE,58698,4,4934,4087,83%,986.8,1233.5,13%,8%,98.96%,62,55.71%,103.54%,78.99%,82.12%
Judecătoria PETROŞANI,JudecatoriaPETROSANI,121945,14,14470,11143,77%,803.89,1033.57,13%,8%,98.96%,69,64.46%,99.01%,91.52%,80.20%
Judecătoria PIATRA-NEAMT,JudecatoriaPIATRANEAMT,183595,22,15799,11076,70%,718.14,789.95,13%,8%,98.96%,98,47.10%,77.12%,95.70%,72.28%
Judecătoria PITEŞTI,JudecatoriaPITESTI,277563,32,41554,29797,72%,1340.45,1484.07,13%,8%,98.96%,104,45.44%,79.39%,94.65%,70.89%
Judecătoria PLOIEŞTI,JudecatoriaPLOIESTI,416681,37,57999,36871,64%,1526.29,1999.97,13%,8%,98.96%,154,30.90%,83.30%,95.20%,57.27%
Judecătoria PODU TURCULUI,JudecatoriaPODUTURCULUI,35512,3,2224,1855,83%,741.33,1112,13%,8%,98.96%,90,46.76%,125.11%,68.69%,74.67%
Judecătoria POGOANELE,JudecatoriaPOGOANELE,45147,5,2517,2067,82%,629.25,629.25,13%,8%,98.96%,81,45.47%,82.12%,86.06%,77.12%
Judecătoria PUCIOASA,JudecatoriaPUCIOASA,64166,4,2763,1792,65%,690.75,690.75,13%,8%,98.96%,152,14.96%,64.86%,89.23%,57.70%
Judecătoria RĂCARI,JudecatoriaRACARI,80726,6,4044,2619,65%,577.71,1011,13%,8%,98.96%,122,49.59%,113.34%,87.48%,65.81%
Judecătoria RĂDĂUŢI,JudecatoriaRADAUTI,164993,12,8853,6460,73%,681,737.75,13%,8%,98.96%,89,51.21%,79.05%,95.53%,74.84%
Judecătoria RĂDUCĂNENI,JudecatoriaRADUCANENI,35158,5,1496,1156,77%,299.2,299.2,13%,8%,98.96%,78,49.69%,77.27%,91.49%,77.87%
Judecătoria RÂMNICU SARAT,JudecatoriaRAMNICUSARAT,96906,7,4251,3337,78%,607.29,708.5,13%,8%,98.96%,90,54.71%,91.58%,92.69%,74.69%
Judecătoria RÂMNICU VÂLCEA,JudecatoriaRAMNICUVALCEA,173773,24,16705,13918,83%,696.04,726.3,13%,8%,98.96%,78,59.70%,86.94%,95.82%,77.92%
Judecătoria REGHIN,JudecatoriaREGHIN,96968,7,4875,4108,84%,696.43,812.5,13%,8%,98.96%,63,66.19%,98.31%,91.62%,81.78%
Judecătoria REŞITA,JudecatoriaRESITA,116961,9,9361,6795,73%,851,1040.11,13%,8%,98.96%,73,57.23%,88.72%,91.11%,79.25%
Judecătoria ROMAN,JudecatoriaROMAN,153713,13,7401,5983,81%,569.31,616.75,13%,8%,98.96%,82,58.86%,87.58%,95.99%,76.84%
Judecătoria ROŞIORI DE VEDE,JudecatoriaROSIORIDEVEDE,87881,8,5530,4556,82%,691.25,691.25,13%,8%,98.96%,77,53.60%,82.39%,92.13%,78.21%
Judecătoria RUPEA,JudecatoriaRUPEA,37504,3,1969,1492,76%,656.33,656.33,13%,8%,98.96%,96,32.70%,75.77%,82.50%,72.81%
Judecătoria SALIŞTE,JudecatoriaSALISTE,26125,4,1508,1210,80%,377,377,13%,8%,98.96%,116,31.60%,80.24%,85.57%,67.40%
Judecătoria SALONTA,JudecatoriaSALONTA,53302,5,2781,1877,67%,556.2,695.25,13%,8%,98.96%,102,40.45%,84.37%,86.96%,71.44%
Judecătoria SÂNNICOLAUL MARE,JudecatoriaSANNICOLAULMARE,63834,3,2898,2029,70%,724.5,724.5,13%,8%,98.96%,67,46.28%,70.01%,88.65%,80.72%
Judecătoria SATU MARE,JudecatoriaSATUMARE,198049,20,18452,14658,79%,838.73,922.6,13%,8%,98.96%,76,60.00%,87.38%,95.34%,78.38%
Judecătoria SĂVENI,JudecatoriaSAVENI,57513,3,3938,2637,67%,984.5,1312.67,13%,8%,98.96%,140,19.17%,89.28%,77.18%,60.92%
Judecătoria SEBEŞ,JudecatoriaSEBES,50296,4,3102,2457,79%,775.5,775.5,13%,8%,98.96%,66,47.14%,79.21%,84.58%,80.96%
Judecătoria SECTORUL 1 BUCUREŞTI,JudecatoriaSECTORUL1BUCURESTI,225453,62,69810,55920,80%,1125.97,1396.2,13%,8%,98.96%,89,60.38%,99.33%,93.81%,74.88%
Judecătoria SECTORUL 2 BUCUREŞTI,JudecatoriaSECTORUL2BUCURESTI,345370,42,56978,42455,75%,1294.95,1582.72,13%,8%,98.96%,155,35.06%,91.07%,95.42%,57.05%
Judecătoria SECTORUL 3 BUCUREŞTI,JudecatoriaSECTORUL3BUCURESTI,385439,53,82655,66377,80%,1620.69,2066.38,13%,8%,98.96%,60,72.81%,102.39%,94.64%,82.67%
Judecătoria SECTORUL 4 BUCUREŞTI,JudecatoriaSECTORUL4BUCURESTI,287828,35,47479,36133,76%,1356.54,1695.68,13%,8%,98.96%,83,60.29%,95.13%,94.11%,76.35%
Judecătoria SECTORUL 5 BUCUREŞTI,JudecatoriaSECTORUL5BUCURESTI,271575,36,37292,30018,80%,1065.49,1434.31,13%,8%,98.96%,63,75.13%,108.36%,94.72%,81.88%
Judecătoria SECTORUL 6 BUCUREŞTI,JudecatoriaSECTORUL6BUCURESTI,367760,33,25874,20457,79%,834.65,958.3,13%,8%,98.96%,82,62.14%,90.78%,97.39%,76.85%
Judecătoria SEGARCEA,JudecatoriaSEGARCEA,44210,4,3595,2525,70%,898.75,898.75,13%,8%,98.96%,110,21.81%,70.24%,79.67%,69.01%
Judecătoria SFÂNTU GHEORGHE,JudecatoriaSFANTUGHEORGHE,113954,10,7848,5983,76%,784.9,784.9,13%,8%,98.96%,84,48.75%,76.24%,93.11%,76.18%
Judecătoria SIBIU,JudecatoriaSIBIU,208616,23,25432,21004,83%,1059.67,1271.6,13%,8%,98.96%,50,73.66%,99.11%,93.90%,85.38%
Judecătoria SIGHETU MARMAŢIEI,JudecatoriaSIGHETUMARMATIEI,81977,7,4483,3295,73%,640.43,640.43,13%,8%,98.96%,127,31.58%,73.50%,92.19%,64.59%
Judecătoria SIGHIŞOARA,JudecatoriaSIGHISOARA,85236,5,4216,3365,80%,702.67,702.67,13%,8%,98.96%,70,54.10%,79.81%,91.76%,80.04%
Judecătoria ŞIMLEUL SILVANIEI,JudecatoriaSIMLEULSILVANIEI,74363,3,2741,1921,70%,685.25,913.67,13%,8%,98.96%,136,34.20%,93.45%,87.71%,61.97%
Judecătoria SINAIA,JudecatoriaSINAIA,38031,4,2818,2224,79%,563.6,704.5,13%,8%,98.96%,98,43.31%,98.65%,81.48%,72.29%
Judecătoria SLATINA,JudecatoriaSLATINA,202647,18,18633,13636,73%,846.95,931.65,13%,8%,98.96%,96,49.43%,80.50%,95.40%,72.92%
Judecătoria SLOBOZIA,JudecatoriaSLOBOZIA,108160,10,8513,6342,74%,709.42,1064.13,13%,8%,98.96%,88,63.30%,111.75%,90.16%,75.01%
Judecătoria STREHAIA,JudecatoriaSTREHAIA,39516,6,3415,2679,78%,487.86,569.17,13%,8%,98.96%,74,52.15%,91.52%,85.60%,78.78%
Judecătoria SUCEAVA,JudecatoriaSUCEAVA,212402,21,17656,13024,74%,840.76,840.76,13%,8%,98.96%,77,53.13%,73.77%,96.04%,78.18%
Judecătoria TÂRGOVIŞTE,JudecatoriaTARGOVISTE,224294,21,17432,13468,77%,792.36,792.36,13%,8%,98.96%,78,55.16%,77.26%,96.47%,77.92%
Judecătoria TÂRGU BUJOR,JudecatoriaTARGUBUJOR,58454,3,3379,2825,84%,844.75,1689.5,13%,8%,98.96%,61,82.04%,167.21%,71.10%,82.44%
Judecătoria TÂRGU JIU,JudecatoriaTARGUJIU,73407,36,26444,21964,83%,734.56,755.54,13%,8%,98.96%,90,48.11%,85.43%,89.71%,74.66%
Judecătoria TÂRGU LAPUŞ,JudecatoriaTARGULAPUS,190812,3,1076,758,70%,358.67,538,13%,8%,98.96%,60,77.45%,105.67%,97.18%,82.75%
Judecătoria TÂRGU MUREŞ,JudecatoriaTARGUMURES,40418,27,23215,17212,74%,800.52,928.6,13%,8%,98.96%,90,34.33%,86.00%,77.03%,74.42%
Judecătoria TĂRGU NEAMŢ,JudecatoriaTARGUNEAMT,265563,8,5124,3842,75%,640.5,732,13%,8%,98.96%,87,57.20%,85.69%,97.24%,75.26%
Judecătoria TÂRGU SECUIESC,JudecatoriaTARGUSECUIESC,89261,4,3063,2404,78%,765.75,1021,13%,8%,98.96%,90,57.23%,104.65%,88.56%,74.62%
Judecătoria TÂRGU-CĂRBUNEŞTI,JudecatoriaTARGUCARBUNESTI,77237,9,6127,5063,83%,612.7,612.7,13%,8%,98.96%,110,42.01%,82.63%,92.07%,69.02%
Judecătoria TÂRNAVENI,JudecatoriaTARNAVENI,47960,4,2448,1847,75%,612,612,13%,8%,98.96%,85,41.69%,75.45%,87.24%,75.98%
Judecătoria TECUCI,JudecatoriaTECUCI,118842,8,6512,5447,84%,723.56,814,13%,8%,98.96%,68,63.83%,94.10%,93.15%,80.40%
Judecătoria TIMIŞOARA,JudecatoriaTIMISOARA,460432,51,46256,37142,80%,872.75,984.17,13%,8%,98.96%,63,68.78%,90.55%,97.86%,81.79%
Judecătoria TOPLIŢA,JudecatoriaTOPLITA,32085,2,2528,1954,77%,842.67,1264,13%,8%,98.96%,79,36.67%,115.94%,60.60%,77.56%
Judecătoria TOPOLOVENI,JudecatoriaTOPOLOVENI,48992,4,2948,2143,73%,737,737,13%,8%,98.96%,106,30.47%,72.69%,84.96%,70.27%
Judecătoria TULCEA,JudecatoriaTULCEA,125350,11,13127,10310,79%,937.64,937.64,13%,8%,98.96%,72,53.45%,78.54%,92.52%,79.41%
Judecătoria TURDA,JudecatoriaTURDA,120405,12,9139,7133,78%,703,761.58,13%,8%,98.96%,64,60.70%,84.55%,93.67%,81.57%
Judecătoria TURNU MĂGURELE,JudecatoriaTURNUMAGURELE,63585,8,2504,2109,84%,313,313,13%,8%,98.96%,67,61.22%,84.23%,95.08%,80.92%
Judecătoria URZICENI,JudecatoriaURZICENI,90434,8,3954,3207,81%,494.25,659,13%,8%,98.96%,74,68.92%,108.14%,92.71%,78.80%
Judecătoria VĂLENII DE MUNTE,JudecatoriaVALENIIDEMUNTE,104363,7,5144,3546,69%,734.86,734.86,13%,8%,98.96%,134,27.34%,68.93%,92.96%,62.53%
Judecătoria VÂNJU MARE,JudecatoriaVANJUMARE,55806,4,5214,3637,70%,869,1042.8,13%,8%,98.96%,112,30.45%,83.71%,81.31%,68.66%
Judecătoria VASLUI,JudecatoriaVASLUI,166491,17,11407,9084,80%,633.72,760.47,13%,8%,98.96%,72,65.79%,95.56%,95.43%,79.37%
Judecătoria VATRA DORNEI,JudecatoriaVATRADORNEI,42496,3,3313,2658,80%,662.6,828.25,13%,8%,98.96%,65,54.46%,100.29%,80.51%,81.21%
Judecătoria VIDELE,JudecatoriaVIDELE,62470,2,4550,3347,74%,1516.67,2275,13%,8%,98.96%,70,39.95%,110.34%,63.58%,79.99%
Judecătoria VIŞEU DE SUS,JudecatoriaVISEUDESUS,86422,5,3621,2786,77%,724.2,724.2,13%,8%,98.96%,81,48.42%,76.94%,91.62%,76.90%
Judecătoria ZALĂU,JudecatoriaZALAU,101645,12,8939,7299,82%,744.92,812.64,13%,8%,98.96%,82,55.05%,89.08%,92.01%,76.61%
Judecătoria ZĂRNEŞTI,JudecatoriaZARNESTI,55293,6,4066,2737,67%,580.86,813.2,13%,8%,98.96%,119,37.94%,94.24%,85.29%,66.66%
Judecătoria ZIMNICEA,JudecatoriaZIMNICEA,48768,5,4472,3488,78%,745.33,1118,13%,8%,98.96%,82,54.07%,117.00%,77.08%,76.71%
